class,baseline_count,improved_count,baseline_mean,improved_mean,baseline_min,improved_min,baseline_low_conf,improved_low_conf
idle,298,298,0.9998402897379095,0.9998354397269501,0.9995665596195028,0.9995502745671891,0,0
running,1047,1047,0.9999319570441445,0.9999292514181011,0.99712556914959,0.9943825748777848,0,0
stairs,54,54,0.9698606551630623,0.9934802768959264,0.7035980460185105,0.9524962592462038,7,0
walking,540,540,0.9988113000495393,0.9981173683943123,0.8661964467030069,0.6212959748034658,1,1
